Date,Open,High,Low,Close,Adj Close,Volume
2022-04-22,258.600006,261.600006,250.600006,254.000000,254.000000,6897061
2022-04-25,252.000000,261.299988,249.199997,259.399994,259.399994,5494012
2022-04-26,259.000000,259.000000,242.500000,245.000000,245.000000,7413495
2022-04-27,245.000000,247.199997,240.600006,245.500000,245.500000,5184547
2022-04-28,246.100006,249.100006,238.000000,238.000000,238.000000,4170861
2022-04-29,239.300003,240.500000,233.000000,234.199997,234.199997,6053966
2022-05-05,243.399994,250.000000,242.500000,245.300003,245.300003,5790069
2022-05-06,243.300003,255.199997,242.500000,255.199997,255.199997,7884570
2022-05-09,251.899994,253.399994,243.100006,245.300003,245.300003,8565068
2022-05-10,246.500000,251.399994,246.500000,250.300003,250.300003,1427852
2022-05-11,246.500000,252.000000,243.600006,251.800003,251.800003,7810077
2022-05-12,249.000000,254.800003,245.000000,252.300003,252.300003,8029759
2022-05-13,254.100006,257.899994,252.600006,256.200012,256.200012,4950006
2022-05-16,257.000000,262.000000,256.600006,256.700012,256.700012,4587941
2022-05-17,258.500000,260.600006,255.399994,257.000000,257.000000,3673273
2022-05-18,257.000000,258.799988,251.000000,251.000000,251.000000,3122129
2022-05-20,249.699997,252.899994,248.000000,248.000000,248.000000,2414718
2022-05-23,250.000000,250.300003,242.000000,248.600006,248.600006,3333194
2022-05-24,248.699997,250.800003,244.000000,244.399994,244.399994,2388470
2022-05-25,245.100006,250.300003,245.100006,249.399994,249.399994,2469778
2022-05-26,249.399994,258.000000,247.399994,255.100006,255.100006,3855771
2022-05-27,254.500000,256.200012,250.199997,250.399994,250.399994,2894984
2022-05-30,253.600006,260.899994,253.600006,259.000000,259.000000,4137891
2022-05-31,268.000000,280.000000,267.600006,271.100006,271.100006,11597924
2022-06-01,274.000000,277.500000,270.500000,271.399994,271.399994,4295429
2022-06-02,272.000000,272.700012,268.299988,271.000000,271.000000,3463205
2022-06-03,272.000000,276.500000,271.700012,274.299988,274.299988,3987628
2022-06-06,276.000000,284.500000,276.000000,281.500000,281.500000,3681075
2022-06-07,282.500000,286.500000,278.600006,286.399994,286.399994,3088234
2022-06-08,288.100006,294.600006,270.000000,271.200012,271.200012,4284217
2022-06-09,271.700012,278.700012,270.500000,278.700012,278.700012,3777009
2022-06-10,276.000000,279.500000,268.500000,269.000000,269.000000,2582646
2022-06-13,268.399994,273.899994,267.500000,271.600006,271.600006,2529378
2022-06-14,273.299988,273.700012,264.000000,270.399994,270.399994,2590509
2022-06-15,270.399994,271.600006,266.600006,267.399994,267.399994,1917427
2022-06-16,267.799988,270.299988,260.700012,263.799988,263.799988,2285802
2022-06-17,263.899994,271.899994,263.299988,268.399994,268.399994,2970368
2022-06-20,269.399994,270.799988,257.100006,260.399994,260.399994,4818215
2022-06-21,262.600006,269.000000,260.600006,267.299988,267.299988,3213288
2022-06-22,264.899994,267.500000,261.399994,266.500000,266.500000,2736628
2022-06-23,266.600006,272.399994,265.000000,266.600006,266.600006,3495375
2022-06-24,267.600006,270.299988,264.500000,266.899994,266.899994,2484845
2022-06-27,259.600006,273.299988,258.500000,272.700012,272.700012,3343128
2022-06-28,274.899994,278.899994,263.899994,267.200012,267.200012,4110482
2022-06-29,265.700012,271.500000,260.399994,262.299988,262.299988,3509971
2022-06-30,262.399994,266.700012,257.399994,264.500000,264.500000,4363836
2022-07-01,264.500000,274.000000,263.399994,268.500000,268.500000,3993991
2022-07-04,270.000000,274.700012,264.399994,264.500000,264.500000,3752483
2022-07-05,265.200012,266.600006,253.199997,255.199997,255.199997,2601474
2022-07-06,255.199997,255.800003,242.600006,244.800003,244.800003,5005591
2022-07-07,246.000000,247.000000,238.300003,244.600006,244.600006,5170097
2022-07-08,243.699997,246.300003,242.300003,243.100006,243.100006,975353
2022-07-13,239.899994,239.899994,231.000000,233.199997,233.199997,3340374
2022-07-14,233.300003,235.300003,227.699997,227.800003,227.800003,2638913
2022-07-18,234.000000,243.500000,233.199997,243.500000,243.500000,3701575
2022-07-19,242.000000,250.399994,240.600006,244.600006,244.600006,3957169
2022-07-20,244.699997,254.500000,242.600006,254.500000,254.500000,3515996
2022-07-21,255.000000,256.000000,248.300003,249.100006,249.100006,3200792
2022-07-22,252.000000,254.300003,246.699997,248.100006,248.100006,2613519
2022-07-25,247.500000,253.300003,247.199997,253.000000,253.000000,1820861
2022-07-26,256.100006,264.700012,256.000000,257.799988,257.799988,3042216
2022-07-27,259.399994,260.500000,255.300003,257.399994,257.399994,2656885
2022-07-28,260.000000,263.299988,257.000000,257.299988,257.299988,3539059
2022-07-29,257.500000,268.399994,256.000000,268.399994,268.399994,4830477
2022-08-01,268.700012,275.000000,267.000000,273.000000,273.000000,4278851
2022-08-02,273.500000,275.799988,268.500000,270.799988,270.799988,3906925
2022-08-03,273.000000,274.799988,271.500000,273.000000,273.000000,2669766
2022-08-04,275.000000,276.899994,270.399994,270.399994,270.399994,3569738
2022-08-05,271.500000,272.299988,265.700012,269.000000,269.000000,3357433
2022-08-08,271.100006,274.899994,270.700012,273.500000,273.500000,3791029
2022-08-09,274.200012,285.000000,273.399994,284.700012,284.700012,6686149
2022-08-10,285.000000,287.200012,282.899994,284.299988,284.299988,3371817
2022-08-11,287.100006,298.299988,287.000000,292.000000,292.000000,5963603
2022-08-12,294.600006,296.000000,291.200012,293.600006,293.600006,3623577
2022-08-15,296.000000,297.000000,283.100006,287.500000,287.500000,3874756
2022-08-16,300.000000,302.000000,288.500000,299.899994,299.899994,15871315
2022-08-17,301.299988,306.700012,297.600006,305.500000,305.500000,7595882
2022-08-18,305.899994,330.399994,304.700012,329.000000,329.000000,9848924
2022-08-19,329.100006,340.299988,326.000000,326.899994,326.899994,8986903
2022-08-22,320.299988,331.399994,317.100006,323.200012,323.200012,6547837
2022-08-23,323.200012,341.399994,322.899994,340.899994,340.899994,6432910
2022-08-24,342.500000,349.600006,337.799988,341.000000,341.000000,5984538
2022-08-25,343.500000,351.799988,341.600006,348.600006,348.600006,4800104
2022-08-26,349.899994,353.700012,340.299988,343.700012,343.700012,5004282
2022-08-29,342.000000,363.700012,340.500000,361.100006,361.100006,6241263
2022-08-31,363.000000,364.000000,354.000000,359.299988,359.299988,5533972
2022-09-01,356.399994,356.399994,338.899994,338.899994,338.899994,6562370
2022-09-02,341.200012,346.600006,336.600006,336.799988,336.799988,4966195
2022-09-05,338.000000,342.799988,334.600006,337.500000,337.500000,7261242
2022-09-06,340.000000,347.299988,335.000000,335.799988,335.799988,7733314
2022-09-07,335.700012,340.799988,328.299988,338.700012,338.700012,6024929
2022-09-08,341.299988,346.700012,334.200012,335.500000,335.500000,5839892
2022-09-09,338.500000,342.299988,334.500000,335.299988,335.299988,4418956
2022-09-12,337.100006,341.899994,333.700012,337.100006,337.100006,7047381
2022-09-13,342.200012,346.500000,328.600006,329.399994,329.399994,8414636
2022-09-14,329.500000,341.000000,317.299988,340.700012,340.700012,5043310
2022-09-15,341.500000,349.399994,335.000000,335.000000,335.000000,5077248
2022-09-16,336.000000,343.000000,332.799988,332.799988,332.799988,4251094
2022-09-19,334.000000,336.200012,311.500000,311.500000,311.500000,3406944
2022-09-20,312.500000,320.799988,302.200012,306.500000,306.500000,5775194
2022-09-21,309.000000,318.899994,304.500000,306.299988,306.299988,4696025
2022-09-22,306.299988,322.100006,304.799988,318.399994,318.399994,5350115
2022-09-23,318.500000,319.700012,306.500000,307.399994,307.399994,3623189
2022-09-26,307.200012,308.200012,292.600006,300.700012,300.700012,4915432
2022-09-27,302.700012,305.000000,294.200012,295.000000,295.000000,4500038
2022-09-28,293.500000,302.100006,292.799988,294.500000,294.500000,5138307
2022-09-29,296.100006,303.600006,286.299988,295.500000,295.500000,6175478
2022-09-30,296.600006,299.100006,287.399994,289.600006,289.600006,5094596
2022-10-03,295.899994,318.500000,295.600006,318.500000,318.500000,7369298
2022-10-04,327.000000,341.200012,325.799988,335.500000,335.500000,6317484
2022-10-05,335.500000,344.399994,329.000000,339.500000,339.500000,8195099
2022-10-06,346.000000,353.500000,345.399994,347.000000,347.000000,5449607
2022-10-07,347.000000,350.200012,343.899994,346.399994,346.399994,3345065
2022-10-10,349.000000,352.000000,344.600006,345.000000,345.000000,3006593
2022-10-11,345.000000,348.399994,340.600006,343.500000,343.500000,3238793
2022-10-12,343.600006,344.600006,335.000000,337.000000,337.000000,3752165
2022-10-13,337.000000,338.600006,328.399994,330.600006,330.600006,4413603
2022-10-14,336.100006,339.399994,332.500000,334.100006,334.100006,5133404
2022-10-17,343.500000,365.500000,343.100006,365.500000,365.500000,10343221
2022-10-18,368.000000,373.799988,353.600006,358.799988,358.799988,9618289
2022-10-19,359.500000,367.299988,355.700012,360.000000,360.000000,10074075
2022-10-20,362.000000,372.000000,359.399994,368.200012,368.200012,11284254
2022-10-21,370.000000,383.700012,369.700012,380.000000,380.000000,8831939
2022-10-24,385.500000,388.200012,377.500000,381.200012,381.200012,6968919
2022-10-25,380.200012,384.399994,374.500000,374.500000,374.500000,5591765
2022-10-26,376.799988,380.200012,366.000000,367.899994,367.899994,7378947
2022-10-27,370.500000,376.899994,365.299988,372.799988,372.799988,7410502
2022-10-28,372.000000,372.799988,361.799988,365.600006,365.600006,3460299
2022-10-31,370.000000,380.600006,367.100006,379.000000,379.000000,6222948
2022-11-01,382.100006,391.700012,381.500000,390.000000,390.000000,6416484
2022-11-02,392.500000,399.500000,391.000000,395.000000,395.000000,6908920
2022-11-03,415.000000,417.799988,401.600006,407.500000,407.500000,13115578
2022-11-04,409.399994,433.399994,408.100006,428.200012,428.200012,10092055
2022-11-07,432.700012,452.200012,425.200012,448.000000,448.000000,12319597
2022-11-08,450.500000,459.000000,439.799988,442.000000,442.000000,10547522
2022-11-09,442.100006,445.899994,429.799988,430.600006,430.600006,6061923
2022-11-10,430.700012,438.700012,426.899994,433.700012,433.700012,6859065
2022-11-11,440.500000,442.799988,426.000000,430.299988,430.299988,8251959
2022-11-14,430.000000,434.399994,426.399994,429.600006,429.600006,5114074
2022-11-15,440.000000,443.299988,432.100006,437.500000,437.500000,8188772
2022-11-16,437.799988,441.000000,427.700012,428.399994,428.399994,7319718
2022-11-17,430.700012,431.399994,412.299988,423.899994,423.899994,6023615
2022-11-18,421.299988,436.000000,421.100006,425.600006,425.600006,5697450
2022-11-21,426.299988,437.299988,426.299988,432.799988,432.799988,5795106
2022-11-22,445.000000,472.200012,444.299988,471.000000,471.000000,9821509
2022-11-23,472.399994,482.799988,465.500000,471.100006,471.100006,8111257
2022-11-24,473.299988,478.899994,460.500000,467.700012,467.700012,6596347
2022-11-25,467.700012,476.200012,465.799988,473.700012,473.700012,5550007
2022-11-28,474.100006,483.299988,470.799988,470.799988,470.799988,6758746
2022-11-29,474.500000,482.700012,466.700012,481.399994,481.399994,6457627
2022-11-30,485.000000,487.500000,479.500000,481.299988,481.299988,7449489
2022-12-01,485.500000,492.500000,481.700012,485.000000,485.000000,7700746
2022-12-02,486.000000,488.799988,477.600006,481.100006,481.100006,5696235
2022-12-05,484.000000,489.000000,472.700012,473.200012,473.200012,6801230
2022-12-06,478.899994,487.700012,478.899994,482.399994,482.399994,7127174
2022-12-07,482.799988,483.000000,458.700012,460.000000,460.000000,6627838
2022-12-08,460.200012,463.399994,427.299988,435.899994,435.899994,12043080
2022-12-09,437.799988,440.500000,431.000000,437.399994,437.399994,9309861
2022-12-12,438.000000,459.100006,436.500000,455.200012,455.200012,8012820
2022-12-13,462.500000,474.000000,462.100006,471.100006,471.100006,6104800
